Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,2446.050049,2585.060059,2309.629883,2583.750000,2583.750000,381517099
2017-06-27,2583.750000,2616.949951,2490.110107,2577.739990,2577.739990,279792448
2017-06-28,2577.739990,2605.860107,2526.510010,2558.370117,2558.370117,191733499
2017-06-29,2558.370117,2576.280029,2469.540039,2480.610107,2480.610107,183878856
2017-06-30,2480.610107,2529.620117,2387.469971,2424.610107,2424.610107,160661673
2017-07-01,2424.610107,2555.340088,2375.860107,2536.459961,2536.459961,165839565
2017-07-02,2536.459961,2617.479980,2506.300049,2572.469971,2572.469971,212244951
2017-07-03,2572.469971,2658.729980,2569.989990,2617.320068,2617.320068,210433639
2017-07-04,2617.320068,2642.739990,2562.040039,2627.860107,2627.860107,232257106
2017-07-05,2627.860107,2634.840088,2581.800049,2614.239990,2614.239990,156558009
2017-07-06,2614.239990,2617.479980,2484.729980,2513.879883,2513.879883,229168229
2017-07-07,2513.879883,2568.729980,2480.620117,2564.860107,2564.860107,136973389
2017-07-08,2564.860107,2576.729980,2509.649902,2511.429932,2511.429932,99506518
2017-07-09,2511.429932,2530.340088,2271.790039,2344.020020,2344.020020,297270301
2017-07-10,2344.020020,2412.750000,2265.479980,2324.290039,2324.290039,341998621
2017-07-11,2324.290039,2424.820068,2262.080078,2403.090088,2403.090088,257095280
2017-07-12,2403.090088,2436.659912,2334.959961,2362.439941,2362.439941,208630220
2017-07-13,2362.439941,2370.530029,2165.360107,2234.169922,2234.169922,257704533
2017-07-14,2234.169922,2237.129883,1974.030029,1975.079956,1975.079956,320719096
2017-07-15,1975.079956,2044.410034,1808.989990,1914.089966,1914.089966,364287861
2017-07-16,1914.089966,2233.830078,1913.790039,2233.389893,2233.389893,368366495
2017-07-17,2233.389893,2400.739990,2164.590088,2320.229980,2320.229980,465220151
2017-07-18,2320.229980,2412.379883,2243.129883,2282.580078,2282.580078,357639189
2017-07-19,2282.580078,2932.810059,2282.110107,2866.020020,2866.020020,807416890
2017-07-20,2866.020020,2873.959961,2622.540039,2675.080078,2675.080078,529154789
2017-07-21,2675.080078,2876.709961,2658.590088,2836.530029,2836.530029,341992860
2017-07-22,2836.530029,2856.669922,2675.649902,2756.610107,2756.610107,299869260
2017-07-23,2756.610107,2798.889893,2715.689941,2763.419922,2763.419922,229047365
2017-07-24,2763.419922,2779.080078,2472.620117,2582.580078,2582.580078,534765380
2017-07-25,2582.580078,2631.729980,2441.540039,2559.209961,2559.209961,340465234
2017-07-26,2559.209961,2712.919922,2547.739990,2691.879883,2691.879883,269880857
2017-07-27,2691.879883,2843.780029,2683.590088,2806.750000,2806.750000,383479795
2017-07-28,2806.750000,2812.129883,2699.419922,2733.500000,2733.500000,230818894
2017-07-29,2733.500000,2773.060059,2621.679932,2766.489990,2766.489990,222933516
2017-07-30,2766.489990,2916.300049,2723.050049,2883.270020,2883.270020,254836601
2017-07-31,2883.270020,2946.020020,2659.620117,2746.989990,2746.989990,341216428
